Date,Time,Temperature (Â°C)
2025-12-01,03:46:09 PM,25.0
2025-12-01,03:46:09 PM,25.0
2025-12-03,08:42:50 PM,25.0
2025-12-03,08:42:50 PM,25.0
2025-12-04,04:38:05 PM,25.0
2025-12-04,04:38:05 PM,25.0
2025-12-05,01:17:19 PM,25.0
2025-12-05,01:17:19 PM,25.0
2025-12-06,01:05:10 PM,26.0
2025-12-06,01:05:10 PM,26.0
2025-12-06,08:59:46 PM,26.0
2025-12-06,08:59:46 PM,26.0
2025-12-06,10:28:41 PM,26.0
2025-12-06,10:28:41 PM,26.0
2025-12-08,04:43:56 PM,24.0
2025-12-08,04:43:56 PM,24.0
2025-12-08,09:08:21 PM,24.0
2025-12-08,09:08:21 PM,24.0
2025-12-09,01:33:12 PM,24.0
2025-12-09,01:33:12 PM,24.0
2025-12-11,01:35:55 PM,25.0
2025-12-11,01:35:55 PM,25.0
2025-12-11,04:59:35 PM,25.0
2025-12-11,04:59:35 PM,25.0
2025-12-12,04:26:32 PM,24.0
2025-12-12,04:26:32 PM,24.0
2025-12-12,04:26:32 PM,24.0
2025-12-12,04:26:32 PM,24.0
2025-12-12,10:26:44 PM,24.0
2025-12-12,10:26:44 PM,24.0
2025-12-13,07:54:12 PM,23.0
2025-12-13,07:54:12 PM,23.0
2025-12-13,07:54:12 PM,23.0
2025-12-13,07:54:12 PM,23.0
2025-12-15,08:31:35 PM,23.0
2025-12-15,08:31:35 PM,23.0
2025-12-15,08:53:00 PM,23.0
2025-12-15,08:53:00 PM,23.0
2025-12-17,01:52:20 PM,26.0
2025-12-17,01:52:20 PM,26.0
2025-12-17,10:39:31 PM,26.0
2025-12-17,10:39:31 PM,ERROR
2025-12-18,01:55:34 PM,ERROR
2025-12-18,01:55:34 PM,ERROR
2025-12-18,10:44:00 PM,ERROR
2025-12-18,10:44:00 PM,ERROR
2025-12-19,01:52:37 PM,ERROR
2025-12-19,01:52:37 PM,ERROR
2025-12-19,09:19:26 PM,ERROR
2025-12-19,09:19:26 PM,ERROR
2025-12-19,09:19:26 PM,ERROR
2025-12-19,09:19:26 PM,ERROR
2025-12-19,09:22:40 PM,ERROR
2025-12-19,09:22:40 PM,ERROR
2025-12-21,09:03:41 PM,ERROR
2025-12-21,09:03:41 PM,ERROR
2025-12-21,09:03:41 PM,ERROR
2025-12-21,09:03:41 PM,ERROR
2025-12-21,09:03:41 PM,ERROR
2025-12-21,09:03:41 PM,ERROR
2025-12-22,11:53:44 PM,ERROR
2025-12-22,11:53:44 PM,ERROR
2025-12-22,11:53:44 PM,ERROR
2025-12-22,11:53:44 PM,ERROR
2025-12-22,11:53:44 PM,ERROR
2025-12-22,11:53:44 PM,ERROR
